Month,Oil_Production (bbl),Total_Gas_Production (mcf)
0,"9,501","17,029"
1,"8,613","15,507"
2,"7,186","13,054"
3,"6,136","11,245"
4,"5,333","9,862"
5,"4,701","8,772"
6,"4,192","7,893"
7,"3,775","7,172"
8,"3,427","6,569"
9,"3,132","6,059"
10,"2,880","5,622"
11,"2,663","5,245"
12,"2,474","4,915"
13,"2,307","4,625"
14,"2,160","4,369"
15,"2,028","4,140"
16,"1,910","3,936"
17,"1,805","3,751"
18,"1,709","3,584"
19,"1,622","3,432"
20,"1,543","3,293"
21,"1,470","3,167"
22,"1,404","3,051"
23,"1,342","2,943"
24,"1,285","2,844"
25,"1,233","2,753"
26,"1,184","2,667"
27,"1,138","2,588"
28,"1,096","2,514"
29,"1,057","2,445"
30,"1,019","2,380"
31,985,"2,320"
32,952,"2,263"
33,921,"2,209"
34,892,"2,159"
35,865,"2,111"
36,838,"2,066"
37,813,"2,023"
38,790,"1,983"
39,768,"1,945"
40,747,"1,909"
41,727,"1,874"
42,708,"1,841"
43,690,"1,810"
44,672,"1,780"
45,655,"1,752"
46,640,"1,725"
47,625,"1,699"
48,610,"1,674"
49,596,"1,645"
50,583,"1,611"
51,570,"1,579"
52,557,"1,547"
53,546,"1,517"
54,534,"1,489"
55,523,"1,461"
56,512,"1,434"
57,502,"1,408"
58,492,"1,383"
59,483,"1,359"
60,474,"1,336"
